well,initial_area,final_area,days_elapsed,growth_rate_um2_per_day,has_split_at_end,n_timepoints
ba3961_D2,233456.88525009155,2770334.9430236816,27,93958.44658420703,False,11
ba3961_D3,239435.23027801514,1005869.110496521,27,28386.44000809281,False,11
ba3961_D4,248478.10511016846,1109158.8363571167,27,31877.064120257342,False,11
ba3961_D5,241243.8052444458,987431.6934776306,27,27636.58845308092,False,11
ba3961_D6,203514.92191696167,792808.9318122864,10,58929.40098953247,False,5
ba3961_D7,474951.88146209717,2561645.487174988,27,77284.94835973669,False,11
ba3961_D8,511073.1425971985,2914468.320209503,27,89014.63620786314,False,11
ba3961_D9,537247.2414169312,2463580.533439636,27,71345.67748232241,False,11
ba3961_E1,255611.9285888672,2096439.8152542114,27,68178.81061723497,False,11
ba3961_E10,530314.3707122803,2997160.386730194,27,91364.66725992273,False,11
ba3961_E11,463547.8115348816,3439608.1569900513,27,110224.45723908035,False,11
ba3961_E12,519111.25355911255,2864883.223213196,27,86880.4433205216,False,11
ba3961_E2,218737.09455108643,310220.84493637085,27,3388.2870513068306,False,11
ba3961_E3,217280.1869392395,469928.0621109009,27,9357.328710061533,False,11
ba3961_E4,240992.614276886,235466.41299057007,27,-204.67412171540437,False,11
ba3961_E5,233356.40886306763,306754.4095840454,27,2718.444471147325,False,11
ba3961_E6,209091.36139678955,360911.1821899414,27,5622.956325672291,False,11
ba3961_E7,510420.04608154297,2851168.19638443,27,86694.37593714397,False,11
ba3961_E8,445110.3945159912,2630371.335899353,27,80935.59042160599,False,11
ba3961_E9,520919.8285255432,3372942.0741996765,27,105630.45354348642,False,11
ba3961_F1,241997.37814712524,274200.06018829346,27,1192.6919274506745,False,11
ba3961_F10,535941.0483856201,3042676.1900520325,27,92842.04228394119,False,11
ba3961_F11,530163.6561317444,3144961.152042389,27,96844.35170039424,False,11
ba3961_F12,548952.7405052185,3063072.8966178894,27,93115.56133750633,False,11
ba3961_F2,242349.04550170898,311778.2289352417,27,2571.4512382789894,False,11
ba3961_F3,239736.6594390869,394470.2954559326,27,5730.875408031322,False,11
ba3961_F4,224464.2486114502,245212.62253189087,27,768.4582933496546,False,11
ba3961_F5,215220.42100524902,232904.26512145996,27,654.957189489294,False,11
ba3961_F6,227830.2075767517,462744.0004386902,27,8700.510846738462,False,11
ba3961_F7,505697.65589141846,2621680.1284217834,27,78369.72120482834,False,11
ba3961_F8,528405.3193588257,3073924.3464164734,27,94278.48248361658,False,11
ba3961_F9,535488.9046440125,3047951.2003707886,27,93054.1591009917,False,11
ba3961_G1,238329.99002075195,812452.0654754639,27,21263.780572396736,False,11
ba3961_G10,543828.4447669983,3130542.7905044556,27,95804.23502731323,False,11
